disk_type,pool_type,cache_size,file_type,file_time,file_total_ops,file_ops_per_second,file_read,file_write,file_bw,file_bw_per_ops
lsvd,ssd,240gb,fileserver,219.457,10052690,55843.461,5077,10153,1341.6mb/s,0.841ms/op
lsvd,ssd,240gb,oltp,223.774,8876137,49300.462,24588,24461,97.4mb/s,0.466ms/op
lsvd,ssd,240gb,randomwrite,186.451,26171334,145383.345,0,145383,1135.8mb/s,0.005ms/op
lsvd,ssd,240gb,varmail,261.273,4707187,26149.031,4023,4023,135.7mb/s,0.602ms/op
lsvd,hdd,240gb,fileserver,229.585,7321976,40673.923,3698,7395,974.6mb/s,1.167ms/op
lsvd,hdd,240gb,oltp,252.864,7810078,43373.891,21641,21511,85.7mb/s,0.559ms/op
lsvd,hdd,240gb,randomwrite,186.565,26194224,145510.417,0,145510,1136.8mb/s,0.005ms/op
lsvd,hdd,240gb,varmail,260.233,4266177,23699.171,3646,3646,124.4mb/s,0.665ms/op
lsvd,ssd,20gb,fileserver,218.572,10400524,57775.642,5252,10505,1388.2mb/s,0.820ms/op
lsvd,ssd,20gb,oltp,223.183,9241133,51325.721,25597,25466,101.4mb/s,0.432ms/op
lsvd,ssd,20gb,randomwrite,186.487,26753661,148617.703,0,148618,1161.1mb/s,0.005ms/op
lsvd,ssd,20gb,varmail,258.264,4743369,26350.085,4054,4054,136.8mb/s,0.597ms/op
lsvd,hdd,20gb,fileserver,232.859,7214174,40075.080,3643,7286,960.4mb/s,1.194ms/op
lsvd,hdd,20gb,oltp,246.549,7521368,41762.760,20838,20712,82.5mb/s,0.577ms/op
lsvd,hdd,20gb,randomwrite,186.500,25029714,139041.332,0,139041,1086.3mb/s,0.005ms/op
lsvd,hdd,20gb,varmail,259.672,3938133,21876.892,3366,3366,115.6mb/s,0.722ms/op
rbd,ssd,none,fileserver,217.236,12318320,68429.212,6221,12442,1645.4mb/s,0.683ms/op
rbd,ssd,none,oltp,220.142,2869388,15935.956,7996,7859,31.3mb/s,0.136ms/op
rbd,ssd,none,randomwrite,186.584,25202092,139999.641,0,140000,1093.7mb/s,0.005ms/op
rbd,ssd,none,varmail,255.563,1170635,6502.947,1000,1000,34.4mb/s,2.445ms/op
rbd,hdd,none,fileserver,269.298,2235438,12417.929,1129,2258,294.1mb/s,3.886ms/op
rbd,hdd,none,oltp,274.143,238179,1323.113,732,585,2.3mb/s,0.389ms/op
rbd,hdd,none,randomwrite,186.474,27221988,151219.566,0,151220,1181.4mb/s,0.005ms/op
rbd,hdd,none,varmail,322.555,29367,163.134,25,25,0.8mb/s,45.214ms/op
